athlete_id,name,born_date,born_city,born_region,born_country,NOC,height_cm,weight_kg,died_date
38843,Joost Adema,1959-09-28,Den Haag (The Hague),Zuid-Holland,NED,Netherlands,202.0,91.0,N/A
38845,Rutger Arisz,1970-02-11,Groningen,Groningen,NED,Netherlands,196.0,94.0,N/A
38847,Robert Bakker,1962-12-09,Mijdrecht,Utrecht,NED,Netherlands,196.0,92.0,N/A
38850,Michiel Bartman,1967-05-19,Haarlemmermeer,Noord-Holland,NED,Netherlands,193.0,90.0,N/A
38871,Sipke Castelein,1941-04-14,Workum,Friesland,NED,Netherlands,193.0,77.0,N/A
38872,Kai Compagner,1969-07-17,Delft,Zuid-Holland,NED,Netherlands,193.0,82.0,N/A
38881,Tjark de Vries,1965-07-17,Waddinxveen,Zuid-Holland,NED,Netherlands,199.0,104.0,N/A
38887,Harry Droog,1944-12-17,Beemster,Noord-Holland,NED,Netherlands,191.0,77.0,N/A
38897,Ronald Florijn,1961-04-21,Leiden,Zuid-Holland,NED,Netherlands,191.0,94.0,N/A
38909,Sjoerd Hoekstra,1959-07-27,Leiden,Zuid-Holland,NED,Netherlands,192.0,86.0,N/A
38920,Hans Keldermann,1966-03-22,Zutphen,Gelderland,NED,Netherlands,198.0,102.0,N/A
38921,René Kieft,1946-09-27,Andijk,Noord-Holland,NED,Netherlands,192.0,92.0,N/A
38923,Adrie Klem,1951-05-06,Delft,Zuid-Holland,NED,Netherlands,194.0,88.0,N/A
38929,Jaap Krijtenburg,1969-05-16,Eindhoven,Noord-Brabant,NED,Netherlands,191.0,88.0,N/A
38934,Johan Leutscher,1964-07-26,Drachten,Friesland,NED,Netherlands,207.0,93.0,N/A
38938,Bernard Luttikhuizen,1947-11-28,Beverwijk,Noord-Holland,NED,Netherlands,197.0,90.0,N/A
38939,Roel Luynenburg,1945-05-23,Haarlem,Noord-Holland,NED,Netherlands,203.0,86.0,2023-11-06
38941,Adri Middag,1973-01-24,Zwolle,Overijssel,NED,Netherlands,201.0,97.0,N/A
38947,Koos Maasdijk,1968-09-19,Rotterdam,Zuid-Holland,NED,Netherlands,195.0,96.0,N/A
38951,Eric Niehe,1943-11-04,Amsterdam,Noord-Holland,NED,Netherlands,196.0,94.0,N/A
38952,Pieter Offens,1946-10-28,Scheemda,Groningen,NED,Netherlands,194.0,86.0,N/A
38957,Bart Peters,1965-08-02,Amsterdam,Noord-Holland,NED,Netherlands,196.0,91.0,N/A
38959,Lex Redelé,1939-01-28,Dordrecht,Zuid-Holland,NED,Netherlands,192.0,85.0,2013-04-18
38960,Jaap Reesink,1946-08-22,Amsterdam,Noord-Holland,NED,Netherlands,194.0,92.0,N/A
38963,Nico Rienks,1962-02-01,Tiel,Gelderland,NED,Netherlands,196.0,96.0,N/A
